form_number,description,forms_received,approvals,denials,pending,pending_over_6_months,source_file,processing_time_days,month,year,seasonal_index,form_avg_processing_time,backlog_ratio
2,5,38614.0,48366.0,6446.0,560751.0,366856.0,appropriation_requirement_august 2025 (1).csv,264.0,august,2025,363.27272727272725,401.2173913043478,14.52158487634339
2,6,1615.0,3642.0,372.0,52364.0,45318.0,appropriation_requirement_august 2025 (1).csv,594.0,august,2025,363.27272727272725,401.2173913043478,32.40346534653465
2,7,7975.0,2333.0,80.0,83594.0,36298.0,appropriation_requirement_august 2025 (1).csv,255.0,august,2025,363.27272727272725,401.2173913043478,10.480692076228687
3,10,11815.0,9466.0,222.0,260980.0,184602.0,appropriation_requirement_august 2025 (1).csv,612.0,august,2025,363.27272727272725,692.3478260869565,22.08700067704807
4,0,222122.0,279876.0,24111.0,1775993.0,803327.0,appropriation_requirement_august 2025 (1).csv,108.0,august,2025,363.27272727272725,99.0,7.995538507943797
5,1,76056.0,71866.0,7057.0,528842.0,113954.0,appropriation_requirement_august 2025 (1).csv,192.0,august,2025,363.27272727272725,187.43478260869566,6.953232444087987
0,8,77435.0,59070.0,7794.0,2042955.0,1600707.0,appropriation_requirement_december_2023.csv,657.0,december,2023,387.0,505.69565217391306,26.382496513249652
1,9,11646.0,6893.0,352.0,140490.0,91131.0,appropriation_requirement_december_2023.csv,216.0,december,2023,387.0,295.69565217391306,12.062333648149739
2,2,4997.0,3640.0,220.0,63706.0,34903.0,appropriation_requirement_december_2023.csv,561.0,december,2023,387.0,401.2173913043478,12.746298519407762
2,3,28201.0,9514.0,424.0,164215.0,55219.0,appropriation_requirement_december_2023.csv,162.0,december,2023,387.0,401.2173913043478,5.822813984823771
2,4,11701.0,5225.0,742.0,204631.0,152503.0,appropriation_requirement_december_2023.csv,390.0,december,2023,387.0,401.2173913043478,17.4868398564348
2,5,37190.0,26702.0,3245.0,527964.0,333161.0,appropriation_requirement_december_2023.csv,369.0,december,2023,387.0,401.2173913043478,14.196015164959265
2,6,3171.0,2280.0,270.0,58017.0,42464.0,appropriation_requirement_december_2023.csv,498.00000000000006,december,2023,387.0,401.2173913043478,18.29035308953342
2,7,2441.0,1633.0,171.0,28320.0,15259.0,appropriation_requirement_december_2023.csv,546.0,december,2023,387.0,401.2173913043478,11.597051597051598
3,10,9407.0,6374.0,475.0,249318.0,188579.0,appropriation_requirement_december_2023.csv,750.0,december,2023,387.0,692.3478260869565,26.50063775510204
4,0,361654.0,361510.0,29713.0,1553098.0,644303.0,appropriation_requirement_december_2023.csv,129.0,december,2023,387.0,99.0,4.2944187139677314
5,1,64383.0,55063.0,5773.0,416964.0,96105.0,appropriation_requirement_december_2023.csv,198.0,december,2023,387.0,187.43478260869566,6.476205268389662
0,8,89686.0,45019.0,7232.0,2313876.0,1853955.0,appropriation_requirement_december_2024 (1).csv,504.0,december,2024,387.0,505.69565217391306,25.79945811544594
1,9,12299.0,5708.0,630.0,199910.0,142558.0,appropriation_requirement_december_2024 (1).csv,339.0,december,2024,387.0,295.69565217391306,16.252845528455286
2,2,7082.0,8310.0,316.0,77686.0,44355.0,appropriation_requirement_december_2024 (1).csv,345.0,december,2024,387.0,401.2173913043478,10.967951433008611
2,3,20685.0,8663.0,309.0,181390.0,104912.0,appropriation_requirement_december_2024 (1).csv,264.0,december,2024,387.0,401.2173913043478,8.768732476070772
2,4,10847.0,6453.0,1000.0,189370.0,137103.0,appropriation_requirement_december_2024 (1).csv,345.0,december,2024,387.0,401.2173913043478,17.456674041297934
2,5,41686.0,27556.0,4015.0,549946.0,331244.0,appropriation_requirement_december_2024 (1).csv,354.0,december,2024,387.0,401.2173913043478,13.192266174107036
